n,fne_min_delta_A,fne_min_delta_B,fne_viol_A,fne_viol_B,rA,rB,augmented_residual,inner_residual,inner_iterations
0,6.6626544872536408e-05,2.8195415147074616e-07,0,0,-9.2805478557167476e-05,8.1046280797636427e-15,-28.465734172309226,0.00011779085072095384,20
1,0.0019761719052773644,5.0789084691702384e-08,0,0,-0.00080671293361689322,6.9666494795228573e-15,-0.014954783650452441,2.5968212643989135e-06,20
2,0.0027735483178487038,1.4496006374202388e-06,0,0,-0.0021107630799264143,5.9952043329758453e-15,-0.053858528653609739,4.9939176722559838e-06,20
3,0.0023776943520950875,3.2214325333163139e-07,0,0,-0.0037934348055035372,2.581268532253489e-15,-0.11042945403920967,7.1825704057537566e-06,20
4,0.00016053441900406047,1.0473698317494698e-06,0,0,-0.0056151606126455533,5.3290705182007514e-15,-0.17613333639403805,9.0917249052572064e-06,20
5,0.00058620047413086027,2.5545317041595582e-06,0,0,-0.0073631627687156254,5.1070259132757201e-15,-0.24255722551796133,1.0684388740568503e-05,20
6,0.00020803683007091872,4.4682781416554089e-07,0,0,-0.0088863585672536161,6.6613381477509392e-16,-0.303039037799822,1.1954258759949239e-05,20
7,0.0014546021181456716,1.2167726647526976e-07,0,0,-0.010104983230343922,1.6653345369377348e-15,-0.35344019085008149,1.2919769882651374e-05,20
8,1.5701600270392892e-05,4.1716256465548835e-07,0,0,-0.011000509597043129,2.4424906541753444e-15,-0.39208303637809383,1.3615763159713659e-05,20
9,0.00053494303809304843,5.4503191259412865e-06,0,0,-0.011595781127346716,1.3322676295501878e-15,-0.41915998721738856,1.4084933092757321e-05,20
10,3.4197227771862912e-05,1.3990127972936526e-07,0,0,-0.011934084662182348,5.8286708792820718e-16,-0.43596418519186131,1.4370526958321364e-05,20
11,0.0036207088750068932,1.4425424964367607e-13,0,0,-0.0120622245182461,4.3368086899420177e-16,-0.44419122012634349,1.4510937065239577e-05,20
12,1.6693496594642372e-05,7.304126644510875e-06,0,0,-0.012019184659481041,6.6613381477509392e-16,-0.44542629922867061,1.4536177458635937e-05,20
13,0.0007346840833218789,1.0951693498446581e-06,0,0,-0.011829875911155252,-2.2204460492503131e-16,-0.44083022392052285,1.4465885012432252e-05,20
14,0.00014649781504133812,1.3937984806115925e-07,0,0,-0.011502777454368784,-4.4408920985006262e-16,-0.43098950234937883,1.430840114077539e-05,20
